Réseau;Station;Trafic;Correspondance_1;stop_name;coord;stop_lat;stop_lon
Métro;GALLIENI;5884810;3;GALLIENI;48.8871763107, 2.2440927299;48.8871763106982;2.2440927299029894
Métro;GALLIENI;5884810;3;GALLIENI;48.8346314966, 2.22828551814;48.83463149658059;2.228285518135708
Métro;GALLIENI;5884810;3;GALLIENI;48.8871763107, 2.2440927299;48.8871763106982;2.2440927299029894
Métro;GALLIENI;5884810;3;GALLIENI;48.8871763107, 2.2440927299;48.8871763106982;2.2440927299029894
Métro;GALLIENI;5884810;3;GALLIENI;48.8871763107, 2.2440927299;48.8871763106982;2.2440927299029894
Métro;GALLIENI;5884810;3;GALLIENI;48.8346672474, 2.22806761336;48.83466724735207;2.2280676133568798
Métro;GALLIENI;5884810;3;GALLIENI;48.7611335161, 2.32996771611;48.76113351614437;2.3299677161073866
Métro;GALLIENI;5884810;3;GALLIENI;48.9097505719, 2.28639958687;48.909750571883365;2.28639958687339
Métro;GALLIENI;5884810;3;GALLIENI;48.8871763107, 2.2440927299;48.8871763106982;2.2440927299029894
Métro;GALLIENI;5884810;3;GALLIENI;48.9097414682, 2.28612691434;48.9097414682376;2.286126914340587
Métro;GALLIENI;5884810;3;GALLIENI;48.9098402964, 2.28605864632;48.909840296417435;2.2860586463160337
Métro;GALLIENI;5884810;3;GALLIENI;48.909741579, 2.28638596163;48.9097415790285;2.2863859616270723
Métro;GALLIENI;5884810;3;GALLIENI;48.8637383964, 2.416670812;48.86373839643221;2.4166708120048925
Métro;GALLIENI;5884810;3;GALLIENI;48.8638100588, 2.41702509379;48.863810058806;2.417025093788652
Métro;MIROMESNIL;5895561;9;;;;
Métro;LES SABLONS;5740806;1;LES SABLONS;48.9713688587, 2.37550284878;48.971368858701354;2.3755028487831007
Métro;LES SABLONS;5740806;1;LES SABLONS;48.881317376, 2.27231032447;48.88131737599348;2.272310324470121
Métro;LES SABLONS;5740806;1;LES SABLONS;48.8810473477, 2.2715612037;48.88104734772718;2.2715612036989734
Métro;LES SABLONS;5740806;1;LES SABLONS;48.881317376, 2.27231032447;48.88131737599348;2.272310324470121
